# Outlets sharing a website with an entry already imported.
# host	outlet	state
newjerseyhills.com	Observer Tribune	New Jersey
newjerseyhills.com	The Citizen	New Jersey
newjerseyhills.com	The Progress	New Jersey
newjerseyhills.com	West Morris Reporter	New Jersey
newsargus.com	News Argus	North Carolina
newsindiatimes.com	News India Times (NJ)	New Jersey
newsindiatimes.com	News India Times (NY)	New York
nextcity.org	Next City: Boston	Massachusetts
nextcity.org	Next City: Chicago	Illinois
nextcity.org	Next City: Minneapolis	Minnesota
nextcity.org	Next City: Philadelphia	Pennsylvania
nextcity.org	Next City: San  Francisco	California
nj.com	Newark Star-Ledger	New Jersey
nm.news	NM Political Report	New Mexico
nm.news	Route 66 Independent	New Mexico
nny360.com	NNY360 (Lewis County)	New York
nny360.com	NNY360 (Oswego County)	New York
nny360.com	NNY360 (St. Lawrence County)	New York
nowruzmedia.com	Nowruz Media	California
nycnewsnetwork.com	East New York	New York
outlooknewspapers.com	Glendale News Press	California
outlooknewspapers.com	La Cañada Outlook	California
outlooknewspapers.com	Pasadena Outlook	California
outlooknewspapers.com	San Marino Tribune	California
outlooknewspapers.com	South Pasadena Review	California
pasalavoznoticias.com	Pasa La Voz	South Carolina
pasquines.us	Pasquines	Guam and Northern Mariana Islands
pasquines.us	Pasquines	Puerto Rico
pasquines.us	Pasquines	Virgin Islands
peoplenewspapers.com	Preston Hollow People	Texas
pioneer-review.com	Faith Independent	South Dakota
pioneer-review.com	Murdo Coyote	South Dakota
pioneer-review.com	New Underwood Post	South Dakota
pioneer-review.com	Pennington County Courant	South Dakota
pmg-ky2.com	Lebanon Enterprise	Kentucky
pmg-ky2.com	Springfield Sun	Kentucky
postandcourier.com	Berkeley Independent	South Carolina
postandcourier.com	Kingstree News	South Carolina
postandcourier.com	Moultrie News	South Carolina
pressherald.com	American Journal	Maine
pressherald.com	Scarborough Leader	Maine
pro.stateaffairs.com	State Affairs - Indiana	Indiana
propublica.org	Pro Publica - Midwest	Illinois
propublica.org	Pro Publica - Southwest	Arizona
propublica.org	Pro Publica - Texas	Texas
runtanews.com	Runta News	Washington
salmonpress.com	Carroll County Independent	New Hampshire
salmonpress.com	Coos County Democrat	New Hampshire
salmonpress.com	Gilford Steamer	New Hampshire
salmonpress.com	Granite State News	New Hampshire
salmonpress.com	Littleton Courier	New Hampshire
salmonpress.com	Meredith News	New Hampshire
salmonpress.com	Record Enterprise	New Hampshire
salmonpress.com	Winnisquam Echo	New Hampshire
scalawagmagazine.org	Scalawag	Mississippi
scalawagmagazine.org	Scalawag	North Carolina
scalawagmagazine.org	Scalawag	South Carolina
secondwavemedia.com	Catalyst	Michigan
secondwavemedia.com	Concentrate	Michigan
secondwavemedia.com	Epicenter	Michigan
secondwavemedia.com	Metromode	Michigan
secondwavemedia.com	Rural Innovation	Michigan
secondwavemedia.com	The Keel	Michigan
secondwavemedia.com	The Lakeshore	Michigan
secondwavemedia.com	The Route	Michigan
secondwavemedia.com	Upword	Michigan
shawlocal.com	Daily Chronicle	Illinois
shawlocal.com	Herald News	Illinois
shawlocal.com	Kane County Chronicle	Illinois
shawlocal.com	Kendall County Now	Illinois
shawlocal.com	Lake County Journal	Illinois
shawlocal.com	My Suburban Life	Illinois
shawlocal.com	Northwest Herald	Illinois
shawlocal.com	The Herald-News	Illinois
southcentralfloridalife.com	Caloos Belle	Florida
southcentralfloridalife.com	Hendry County News	Florida
southcentralfloridalife.com	Okechobee News	Florida
spokesman.com	The Spokesman-Review	Washington
stateimpact.npr.org	State Impact PA	Pennsylvania
sunjournal.com	Rangeley Highlander	Maine
sunjournal.com	Rumford Falls Times	Maine
tallasseetribune.com	Tallassee Tribune	Alabama
tapinto.net	Jersey City Independent	New Jersey
tapinto.net	TAPinto Bayonne	New Jersey
tapinto.net	TAPinto Bloomfield	New Jersey
tapinto.net	TAPinto Coral Springs	Florida
tapinto.net	TAPinto Doylestown	Pennsylvania
tapinto.net	TAPinto East Orange/Orange	New Jersey
tapinto.net	TAPinto Flemington/Raritan/Readington	New Jersey
tapinto.net	TAPinto Greater Olean	New Jersey
tapinto.net	TAPinto Hawthorne	New Jersey
tapinto.net	TAPinto Hoboken	New Jersey
tapinto.net	TAPinto Jersey City	New Jersey
tapinto.net	TAPinto Neptune	New Jersey
tapinto.net	TAPinto Newark	New Jersey
tapinto.net	TAPinto North Hunterdon	New Jersey
tapinto.net	TAPinto Nutley	New Jersey
tapinto.net	TAPinto Parkland	Florida
tapinto.net	TAPinto Paterson	New Jersey
tapinto.net	TAPinto Plainfield	New Jersey
tapinto.net	TAPinto Roxbury	New Jersey
tapinto.net	TAPinto SOMA	New Jersey
tapinto.net	TAPinto South Brunswick	New Jersey
tapinto.net	TAPinto Summit	New Jersey
tapinto.net	TAPintoGreater Olean	New York
thebeaconnews.org	The Kansas City Beacon	Missouri
theconversation.com	The Conversation Local: Detroit	Michigan
theconversation.com	The Conversation Local: Philadelphia	Pennsylvania
theconversation.com	The Conversation Local: South FL	Florida
theexaminernews.com	Northern Westchester Examiner	New York
theexaminernews.com	White Plains Examiner	New York
thefoodsection.com	The Food Scene - Asheville	North Carolina
thefoodsection.com	The Food Scene - Baton Rouge	Louisiana
thefoodsection.com	The Food Scene - Nashville	Tennessee
thefoodsection.com	The Food Scene - West Virginia	West Virginia
thehancocknews.com	Hancock News	Pennsylvania
thehancocknews.com	Hancock News	West Virginia
thesentinel.com	Prince George’s Sentinel	Maryland
timeshudsonvalley.com	Mid-Hudson	New York
timeshudsonvalley.com	Southern Ulster Times	New York
timeshudsonvalley.com	Wallkill Valley Times	New York
uscannenbergmedia.com	Dimelo	California
uscannenbergmedia.com	elevASIAN	California
vidanewspaper.com	¿Que Pasa? Sioux Falls	South Dakota
vnews.com	Valley News	Vermont
votebeat.org	Votebeat Michigan	Michigan
votebeat.org	Votebeat Pennsylvania	Pennsylvania
votebeat.org	Votebeat Texas	Texas
votebeat.org	Votebeat Wisconsin	Wisconsin
vtcng.com	News & Citizen	Vermont
vtcng.com	Shelburne News	Vermont
vtcng.com	Stowe Reporter	Vermont
vtcng.com	The Other Paper	Vermont
workforce.atlanticcape.edu	Cape May County Documenters	New Jersey
wvnews.com	Morgantown News	West Virginia
wvnews.com	River Cities Tribune and Register	West Virginia
yumasun.com	Yuma Sun	Arizona
